"_time",Image,CommandLine,ParentImage
"2026-05-18T16:09:12.213+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:09:11.541+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe"" --ps2","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:09:10.919+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:09:10.154+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:09:09.385+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:09:07.576+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:08:40.230+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k GPSvcGroup","C:\Windows\System32\services.exe"
"2026-05-18T16:08:12.292+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:08:11.538+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:08:10.898+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe"" --ps2","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:08:10.146+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:08:09.382+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:08:07.577+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:07:12.274+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:07:11.517+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe"" --ps2","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:07:10.884+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:07:10.130+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:07:09.381+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:07:07.564+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:07:01.647+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k CameraMonitor","C:\Windows\System32\services.exe"
"2026-05-18T16:06:12.284+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:06:11.517+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:06:10.837+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe"" --ps2","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:06:10.126+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:06:09.386+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:06:07.552+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:05:12.119+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:05:11.509+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe"" --ps2","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:05:10.889+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:05:10.131+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:05:09.369+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:05:07.546+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:04:22.338+0400","C:\Windows\System32\taskhostw.exe","taskhostw.exe","C:\Windows\System32\svchost.exe"
"2026-05-18T16:04:12.192+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:04:11.478+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe"" --ps2","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:04:10.881+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:04:10.129+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:04:09.369+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:04:07.558+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T16:03:23.771+0400","C:\Windows\System32\net1.exe","C:\Windows\system32\net1 localgroup administrators hacker /add","C:\Windows\System32\net.exe"
"2026-05-18T16:03:23.181+0400","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.10301.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.10301.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"" -Embedding","C:\Windows\System32\svchost.exe"
"2026-05-18T16:03:23.022+0400","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.10301.0_x64__8wekyb3d8bbwe\OpenConsole.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.18.10301.0_x64__8wekyb3d8bbwe\OpenConsole.exe"" -Embedding","C:\Windows\System32\svchost.exe"
"2026-05-18T16:03:22.954+0400","C:\Windows\System32\net.exe","net.exe localgroup administrators hacker /add","-"
